City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Waingapu,ID,77.02,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
389,Kalabo,ZM,72.79,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
390,Sao Filipe,CV,71.28,overcast clouds,14.8961,-24.4956,Hotel Xaguate
391,Xixiang,CN,51.62,broken clouds,35.1628,112.865,Sanmao Hotel Hotel
392,Clyde,US,30.29,overcast clouds,41.3042,-82.9752,Red Roof Inn Clyde
393,Northam,GB,55.26,overcast clouds,51.0333,-4.2167,Durrant House Hotel
394,Aden,YE,80.94,clear sky,12.7794,45.0367,Sama Emirate Hotel
395,Maningrida,AU,77.43,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
396,Horsham,GB,58.05,light rain,51.064,-0.3272,Springfields Hotel
397,Sabha,LY,78.04,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
399,Katsuura,JP,52.86,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
401,Mehriz,IR,55.9,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
402,Sabratah,LY,60.87,overcast clouds,32.7933,12.4885,شقق مفروش شمس الاصيل
404,West Des Moines,US,43.9,overcast clouds,41.572,-93.7453,Valley West Inn
405,San Carlos Del Zulia,VE,88.39,overcast clouds,9.0,-71.9135,Hotel El Manantial
406,Hualmay,PE,74.97,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
407,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
409,Nanakuli,US,76.44,clear sky,21.3906,-158.1547,Camp Pālehua
