,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Buchanan,LR,5.8808,-10.0467,81.66,81,100,5.35,overcast clouds
303,Kutum,SD,14.2,24.6667,68.02,8,19,14.38,few clouds
304,Martapura,ID,-3.4167,114.85,77.09,94,100,3.44,light rain
305,Wattegama,LK,6.7989,81.4808,75.07,91,23,1.41,few clouds
306,Nyimba,ZM,-14.5566,30.8149,69.22,93,65,6.33,light rain
307,Verkhnyaya Toyma,RU,62.2349,44.9985,6.17,97,100,2.98,overcast clouds
308,Sakaiminato,JP,35.55,133.2333,46.38,57,75,16.11,broken clouds
309,Concepcion,CL,-36.827,-73.0498,63.14,60,0,9.66,clear sky
310,Paamiut,GL,61.994,-49.6678,32.36,69,100,4.27,overcast clouds
311,Mokhsogollokh,RU,61.4681,128.9203,18.97,96,100,2.59,overcast clouds
312,Bonavista,CA,48.6499,-53.1147,37.99,83,10,3.09,clear sky
313,Gizo,SB,-8.103,156.8419,82.63,75,100,6.38,overcast clouds
314,Port Blair,IN,11.6667,92.75,80.64,83,20,2.3,mist
315,Adrar,MR,20.5022,-10.0711,87.42,15,100,6.69,overcast clouds
316,Sorland,NO,67.667,12.6934,31.86,46,100,17.98,overcast clouds
317,Dali,CN,25.7,100.1833,50.47,87,9,4.81,clear sky
318,Turukhansk,RU,65.8167,87.9833,9.39,93,100,8.93,overcast clouds
319,Kenai,US,60.5544,-151.2583,37.02,81,100,18.41,overcast clouds
320,Kamaishi,JP,39.2667,141.8833,35.67,72,95,6.26,overcast clouds
321,Henties Bay,NA,-22.116,14.2845,65.25,76,55,3.49,broken clouds
322,Vardo,NO,70.3705,31.1107,28.51,59,100,22.62,light snow
323,Kodigenahalli,IN,13.72,77.3903,83.89,36,81,8.75,broken clouds
324,Talara,PE,-4.5772,-81.2719,90.36,48,0,12.66,clear sky
325,Calbuco,CL,-41.768,-73.1273,54.41,87,100,15.55,light rain
326,Baykit,RU,61.67,96.37,-4.65,100,57,2.35,broken clouds
327,Necocli,CO,8.4234,-76.786,81.95,78,100,6.42,overcast clouds
328,Mayumba,GA,-3.432,10.6554,76.17,95,100,5.82,heavy intensity rain
329,La Reforma,MX,25.0833,-108.05,81.7,28,3,10.89,clear sky
330,Kiama,AU,-34.6833,150.8667,68.38,94,100,1.99,moderate rain
331,Constantine,DZ,36.365,6.6147,62.01,55,40,3.44,scattered clouds
332,Longyearbyen,SJ,78.2186,15.6401,10.24,67,20,11.5,few clouds
333,Ponta Delgada,PT,37.7333,-25.6667,63.32,72,40,9.22,scattered clouds
334,Martil,MA,35.6166,-5.2752,58.96,88,75,10.36,mist
335,West Helena,US,34.5507,-90.6418,64.08,50,21,7.0,few clouds
336,Vanimo,PG,-2.6741,141.3028,77.02,90,100,6.53,overcast clouds
